productCode,productName,customerName,orderDate,total_price
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Land of Toys Inc.",2004-11-15,2469.15
S12_3148,"1969 Corvair Monza","AV Stores, Co.",2004-10-14,2465.68
S18_3232,"1992 Ferrari 360 Spider red",FunGiftIdeas.com,2004-11-04,2463.90
S18_1749,"1917 Grand Touring Sedan","AV Stores, Co.",2003-03-18,2448.00
S18_1749,"1917 Grand Touring Sedan","Australian Collectables, Ltd",2003-11-21,2448.00
S18_1662,"1980s Black Hawk Helicopter","Oulu Toy Supplies, Inc.",2005-01-31,2439.50
S18_2238,"1998 Chrysler Plymouth Prowler","Dragon Souveniers, Ltd.",2003-10-22,2416.68
S18_1662,"1980s Black Hawk Helicopter","Rovelli Gifts",2003-02-17,2412.72
S18_1662,"1980s Black Hawk Helicopter","Osaka Souveniers Co.",2004-01-12,2412.64
S18_2795,"1928 Mercedes-Benz SSK","Auto Associés & Cie.",2004-10-11,2409.75
S10_4757,"1972 Alfa Romeo GTA","Collectable Mini Designs Co.",2004-02-19,2399.04
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Australian Collectors, Co.",2003-04-29,2382.00
S18_3685,"1948 Porsche Type 356 Roadster","Vida Sport, Ltd",2004-08-30,2377.79
S18_3482,"1976 Ford Gran Torino","Mini Gifts Distributors Ltd.",2003-07-02,2373.88
S18_3232,"1992 Ferrari 360 Spider red","Motor Mint Distributors Inc.",2004-11-17,2370.76
S24_3856,"1956 Porsche 356A Coupe","Mini Gifts Distributors Ltd.",2003-07-02,2363.51
S24_3856,"1956 Porsche 356A Coupe","Toms Spezialitäten, Ltd",2004-10-16,2363.51
S12_2823,"2002 Suzuki XREO","Corporate Gift Ideas Co.",2003-10-10,2358.72
S18_1749,"1917 Grand Touring Sedan","Handji Gifts& Co",2004-09-01,2356.20
S18_1662,"1980s Black Hawk Helicopter","Euro+ Shopping Channel",2005-03-01,2355.84
S18_1662,"1980s Black Hawk Helicopter","Reims Collectables",2005-03-30,2355.84
S12_3891,"1969 Ford Falcon","Mini Creations Ltd.",2003-11-14,2353.12
S12_3148,"1969 Corvair Monza","Mini Creations Ltd.",2003-11-14,2344.80
S12_1108,"2001 Ferrari Enzo","Dragon Souveniers, Ltd.",2003-04-16,2343.96
S24_3856,"1956 Porsche 356A Coupe","Vida Sport, Ltd",2004-08-30,2339.54
S12_2823,"2002 Suzuki XREO",Toys4GrownUps.com,2003-08-25,2337.60
S18_3232,"1992 Ferrari 360 Spider red","Marseille Mini Autos",2003-05-08,2331.89
S18_3232,"1992 Ferrari 360 Spider red","Vida Sport, Ltd",2004-08-30,2331.89
S18_3685,"1948 Porsche Type 356 Roadster","Herkku Gifts",2003-11-12,2329.68
S18_3482,"1976 Ford Gran Torino","Corporate Gift Ideas Co.",2003-10-10,2328.30
S18_3232,"1992 Ferrari 360 Spider red","Salzburg Collectables",2005-05-17,2323.30
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Down Under Souveniers, Inc",2004-12-04,2316.21
S24_3856,"1956 Porsche 356A Coupe","Marseille Mini Autos",2003-05-08,2315.74
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Daedalus Designs Imports",2003-11-11,2304.54
S12_1666,"1958 Setra Bus","Corrida Auto Replicas, Ltd",2003-05-28,2300.10
S18_3140,"1903 Ford Model A","Euro+ Shopping Channel",2004-12-02,2298.74
S18_4027,"1970 Triumph Spitfire","Diecast Collectables",2003-12-09,2297.92
S12_1108,"2001 Ferrari Enzo","Mini Gifts Distributors Ltd.",2004-08-20,2296.19
S18_2795,"1928 Mercedes-Benz SSK","Australian Collectables, Ltd",2003-11-21,2295.04
S18_2795,"1928 Mercedes-Benz SSK","Mini Gifts Distributors Ltd.",2003-11-12,2295.00
S12_3891,"1969 Ford Falcon","Saveley & Henriot, Co.",2004-01-02,2283.90
S18_4721,"1957 Corvette Convertible","Mini Gifts Distributors Ltd.",2003-07-02,2276.64
S18_4721,"1957 Corvette Convertible","Toms Spezialitäten, Ltd",2004-10-16,2276.64
S10_4757,"1972 Alfa Romeo GTA",giftsbymail.co.uk,2004-11-01,2276.64
S18_3232,"1992 Ferrari 360 Spider red","Vida Sport, Ltd",2004-02-22,2275.98
S18_3482,"1976 Ford Gran Torino","Marseille Mini Autos",2003-05-08,2273.92
S18_1984,"1995 Honda Civic","Muscle Machine Inc",2003-12-02,2273.24
S18_1662,"1980s Black Hawk Helicopter","Scandinavian Gift Ideas",2003-10-23,2270.72
S18_1662,"1980s Black Hawk Helicopter","Kelly's Gift Shop",2004-12-16,2270.70
S10_1949,"1952 Alpine Renault 1300","Australian Collectors, Co.",2004-11-29,2262.96
S12_2823,"2002 Suzuki XREO","La Rochelle Gifts",2005-02-03,2259.30
S18_3685,"1948 Porsche Type 356 Roadster","Muscle Machine Inc",2003-12-02,2257.60
S18_2238,"1998 Chrysler Plymouth Prowler","Diecast Collectables",2003-12-09,2252.96
S18_3232,"1992 Ferrari 360 Spider red","Marta's Replicas Co.",2004-10-13,2252.18
S18_3232,"1992 Ferrari 360 Spider red","Diecast Collectables",2003-12-09,2248.80
S12_3148,"1969 Corvair Monza","Mini Gifts Distributors Ltd.",2003-08-08,2248.00
S18_1129,"1993 Mazda RX-7","Online Diecast Creations Co.",2003-11-20,2241.92
S18_2795,"1928 Mercedes-Benz SSK","Rovelli Gifts",2003-11-05,2240.96
S10_1949,"1952 Alpine Renault 1300","Saveley & Henriot, Co.",2003-11-25,2239.49
S10_1949,"1952 Alpine Renault 1300","Canadian Gift Exchange Network",2003-12-05,2239.49
S18_4721,"1957 Corvette Convertible","Cruz & Sons Co.",2003-03-03,2237.92
S18_3232,"1992 Ferrari 360 Spider red","Muscle Machine Inc",2003-06-03,2235.30
S18_4721,"1957 Corvette Convertible","Auto Canal+ Petit",2004-01-15,2232.00
S12_3148,"1969 Corvair Monza","Dragon Souveniers, Ltd.",2003-10-22,2230.02
S18_4027,"1970 Triumph Spitfire","Dragon Souveniers, Ltd.",2003-10-22,2223.18
S18_2870,"1999 Indy 500 Monte Carlo SS","Herkku Gifts",2003-11-12,2221.56
S18_2795,"1928 Mercedes-Benz SSK","Online Diecast Creations Co.",2004-11-04,2220.82
S18_3140,"1903 Ford Model A","Kelly's Gift Shop",2004-12-16,2212.74
S12_1099,"1968 Ford Mustang","Vida Sport, Ltd",2004-02-22,2206.40
S12_1099,"1968 Ford Mustang","UK Collectables, Ltd.",2004-06-01,2206.40
S18_3232,"1992 Ferrari 360 Spider red","Mini Gifts Distributors Ltd.",2004-03-11,2204.86
S12_3891,"1969 Ford Falcon","Mini Gifts Distributors Ltd.",2004-08-20,2204.28
S18_2795,"1928 Mercedes-Benz SSK","Saveley & Henriot, Co.",2004-03-02,2202.15
S18_1984,"1995 Honda Civic","Herkku Gifts",2003-11-12,2200.65
S18_1984,"1995 Honda Civic","Toms Spezialitäten, Ltd",2004-10-16,2200.65
S18_3232,"1992 Ferrari 360 Spider red","Online Diecast Creations Co.",2003-11-20,2194.72
S18_1129,"1993 Mazda RX-7","Toms Spezialitäten, Ltd",2004-10-16,2189.60
S18_3482,"1976 Ford Gran Torino","Vida Sport, Ltd",2004-08-30,2173.96
S18_1749,"1917 Grand Touring Sedan","Motor Mint Distributors Inc.",2004-11-17,2165.80
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Marta's Replicas Co.",2004-08-27,2165.15
S18_2319,"1964 Mercedes Tour Bus","Dragon Souveniers, Ltd.",2003-10-22,2165.04
S18_3482,"1976 Ford Gran Torino","Mini Gifts Distributors Ltd.",2005-03-04,2163.68
S12_1108,"2001 Ferrari Enzo","Mini Gifts Distributors Ltd.",2005-02-17,2161.12
S10_1949,"1952 Alpine Renault 1300","Classic Gift Ideas, Inc",2003-11-13,2160.12
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2003-01-31,2157.35
S18_3232,"1992 Ferrari 360 Spider red","Iberia Gift Imports, Corp.",2003-11-14,2157.35
S24_3856,"1956 Porsche 356A Coupe","Mini Gifts Distributors Ltd.",2005-03-04,2156.96
S18_4027,"1970 Triumph Spitfire","AV Stores, Co.",2004-10-14,2148.63
S12_1108,"2001 Ferrari Enzo","Mini Gifts Distributors Ltd.",2005-01-23,2144.52
S18_1984,"1995 Honda Civic","Euro+ Shopping Channel",2004-01-16,2139.52
S18_1984,"1995 Honda Civic",FunGiftIdeas.com,2004-11-04,2133.75
S10_4757,"1972 Alfa Romeo GTA","Mini Creations Ltd.",2003-08-10,2132.48
S10_4698,"2003 Harley-Davidson Eagle Drag Bike","Gift Depot Inc.",2004-06-28,2130.26
S12_3891,"1969 Ford Falcon","Danish Wholesale Imports",2003-02-11,2128.20
S12_1099,"1968 Ford Mustang","Anna's Decorations, Ltd",2003-11-04,2124.72
S12_1108,"2001 Ferrari Enzo","La Corne D'abondance, Co.",2004-11-20,2119.56
S18_1662,"1980s Black Hawk Helicopter","Salzburg Collectables",2003-04-28,2119.32
S18_1129,"1993 Mazda RX-7","Herkku Gifts",2003-11-12,2117.52
S18_3482,"1976 Ford Gran Torino","Cruz & Sons Co.",2003-03-03,2116.64
S18_1984,"1995 Honda Civic","Mini Gifts Distributors Ltd.",2005-03-04,2116.64
S24_2300,"1962 Volkswagen Microbus","Dragon Souveniers, Ltd.",2003-10-22,2116.26
S18_1589,"1965 Aston Martin DB5","Herkku Gifts",2003-11-12,2115.48
S18_2238,"1998 Chrysler Plymouth Prowler","Muscle Machine Inc",2003-06-03,2112.15
S24_3856,"1956 Porsche 356A Coupe","Cruz & Sons Co.",2003-03-03,2112.00
S12_2823,"2002 Suzuki XREO","Online Mini Collectables",2004-08-02,2108.68
S12_3148,"1969 Corvair Monza","Muscle Machine Inc",2003-06-03,2107.50
S18_2325,"1932 Model A Ford J-Coupe","AV Stores, Co.",2004-11-17,2105.28
S18_1984,"1995 Honda Civic","Vida Sport, Ltd",2004-08-30,2103.92
S18_1984,"1995 Honda Civic","L'ordine Souveniers",2004-07-06,2091.15
S18_2238,"1998 Chrysler Plymouth Prowler","Mini Gifts Distributors Ltd.",2005-02-17,2085.98
S24_2300,"1962 Volkswagen Microbus","Corrida Auto Replicas, Ltd",2003-05-28,2085.56
S10_4962,"1962 LanciaA Delta 16V","Corrida Auto Replicas, Ltd",2003-05-28,2084.54
S24_3856,"1956 Porsche 356A Coupe","Herkku Gifts",2003-11-12,2076.89
S18_3685,"1948 Porsche Type 356 Roadster",FunGiftIdeas.com,2004-11-04,2076.75
S10_2016,"1996 Moto Guzzi 1100i","La Rochelle Gifts",2004-07-23,2076.66
S12_3891,"1969 Ford Falcon","Dragon Souveniers, Ltd.",2003-04-16,2076.24
S18_3140,"1903 Ford Model A","Mini Gifts Distributors Ltd.",2003-08-08,2076.16
S18_1662,"1980s Black Hawk Helicopter","The Sharp Gifts Warehouse",2004-05-11,2075.22
S18_3482,"1976 Ford Gran Torino","Toms Spezialitäten, Ltd",2004-10-16,2074.00
S12_3148,"1969 Corvair Monza","Vitachrome Inc.",2004-11-05,2072.84
S18_3482,"1976 Ford Gran Torino","Auto Canal+ Petit",2004-01-15,2072.55
S24_3856,"1956 Porsche 356A Coupe",FunGiftIdeas.com,2004-11-04,2064.30
S18_4721,"1957 Corvette Convertible","Daedalus Designs Imports",2003-11-11,2062.34
S18_3232,"1992 Ferrari 360 Spider red","L'ordine Souveniers",2004-07-06,2057.55
S10_1949,"1952 Alpine Renault 1300","West Coast Collectables Co.",2004-01-29,2057.30
S18_1662,"1980s Black Hawk Helicopter","Bavarian Collectables Imports, Co.",2004-09-15,2053.10
S10_1949,"1952 Alpine Renault 1300","Technics Stores Inc.",2003-07-24,2050.84
S700_2834,"ATA: B757-300","Rovelli Gifts",2003-02-17,2050.20
S18_3482,"1976 Ford Gran Torino","Herkku Gifts",2003-11-12,2049.01
S18_3140,"1903 Ford Model A","Danish Wholesale Imports",2003-02-11,2048.85
S12_1099,"1968 Ford Mustang","Down Under Souveniers, Inc",2004-12-04,2048.80
S18_1984,"1995 Honda Civic","Online Diecast Creations Co.",2003-11-20,2048.48
S18_4027,"1970 Triumph Spitfire","Mini Creations Ltd.",2003-11-14,2045.12
S24_2300,"1962 Volkswagen Microbus","Diecast Collectables",2003-12-09,2044.64
S18_2795,"1928 Mercedes-Benz SSK","Euro+ Shopping Channel",2005-02-16,2040.22
S18_1749,"1917 Grand Touring Sedan","Saveley & Henriot, Co.",2004-03-02,2040.00
S10_4757,"1972 Alfa Romeo GTA","Petit Auto",2004-07-21,2040.00
S18_3232,"1992 Ferrari 360 Spider red","UK Collectables, Ltd.",2004-06-01,2038.82
S18_2238,"1998 Chrysler Plymouth Prowler","Heintze Collectables",2004-10-22,2038.50
S18_2325,"1932 Model A Ford J-Coupe","Rovelli Gifts",2003-11-05,2034.08
S18_2325,"1932 Model A Ford J-Coupe","Muscle Machine Inc",2003-12-02,2031.50
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2005-02-22,2025.27
S12_3891,"1969 Ford Falcon","Euro+ Shopping Channel",2003-09-28,2024.36
S18_4721,"1957 Corvette Convertible","Vida Sport, Ltd",2004-08-30,2023.68
S18_1662,"1980s Black Hawk Helicopter","Mini Creations Ltd.",2003-08-10,2018.40
S18_3232,"1992 Ferrari 360 Spider red","Anna's Decorations, Ltd",2003-09-11,2015.16
S18_3685,"1948 Porsche Type 356 Roadster","Online Diecast Creations Co.",2003-11-20,2011.84
S10_4757,"1972 Alfa Romeo GTA","Oulu Toy Supplies, Inc.",2005-01-31,2011.44
S10_4962,"1962 LanciaA Delta 16V","Diecast Collectables",2003-12-09,2009.28
S10_1949,"1952 Alpine Renault 1300","Dragon Souveniers, Ltd.",2003-09-19,2003.76
S12_1666,"1958 Setra Bus","Auto Associés & Cie.",2004-10-11,1998.18
S12_3380,"1968 Dodge Charger","Vida Sport, Ltd",2004-08-30,1996.48
S18_2238,"1998 Chrysler Plymouth Prowler","Vitachrome Inc.",2004-11-05,1994.30
S18_2238,"1998 Chrysler Plymouth Prowler","Euro+ Shopping Channel",2004-12-10,1994.30
S10_1949,"1952 Alpine Renault 1300","Mini Gifts Distributors Ltd.",2004-12-10,1993.00
S18_1749,"1917 Grand Touring Sedan","Signal Gift Stores",2003-05-21,1989.00
S18_1749,"1917 Grand Touring Sedan","Souveniers And Things Co.",2005-05-29,1989.00
S18_3140,"1903 Ford Model A","Mini Creations Ltd.",2003-11-14,1988.80
S10_4962,"1962 LanciaA Delta 16V","Scandinavian Gift Ideas",2004-09-08,1985.62
S10_4962,"1962 LanciaA Delta 16V","Online Diecast Creations Co.",2004-11-04,1985.62
S18_1097,"1940 Ford Pickup Truck","Corrida Auto Replicas, Ltd",2003-05-28,1983.39
S18_3232,"1992 Ferrari 360 Spider red","Handji Gifts& Co",2004-06-15,1981.33
S10_4757,"1972 Alfa Romeo GTA","Scandinavian Gift Ideas",2003-10-23,1980.16
S24_2887,"1952 Citroen-15CV","Mini Gifts Distributors Ltd.",2003-11-12,1976.59
S18_1129,"1993 Mazda RX-7","L'ordine Souveniers",2004-07-06,1974.45
S12_4473,"1957 Chevy Pickup","Dragon Souveniers, Ltd.",2003-10-22,1962.36
S18_3685,"1948 Porsche Type 356 Roadster","UK Collectables, Ltd.",2004-06-01,1958.18
S18_3482,"1976 Ford Gran Torino","Online Mini Collectables",2004-08-02,1954.96
S18_4027,"1970 Triumph Spitfire","Mini Gifts Distributors Ltd.",2003-08-08,1953.28
S18_4721,"1957 Corvette Convertible","Mini Gifts Distributors Ltd.",2005-03-04,1952.32
S18_2870,"1999 Indy 500 Monte Carlo SS","Vida Sport, Ltd",2004-08-30,1952.28
S18_3140,"1903 Ford Model A","AV Stores, Co.",2004-10-14,1950.58
S10_1949,"1952 Alpine Renault 1300","Anna's Decorations, Ltd",2005-03-09,1950.10
S18_1129,"1993 Mazda RX-7","Marseille Mini Autos",2003-05-08,1949.05
S18_1129,"1993 Mazda RX-7","Muscle Machine Inc",2003-12-02,1949.05
S24_3856,"1956 Porsche 356A Coupe","Motor Mint Distributors Inc.",2004-11-17,1946.42
S18_3140,"1903 Ford Model A","Heintze Collectables",2004-10-22,1946.40
S12_1666,"1958 Setra Bus","Baane Mini Imports",2003-01-29,1946.24
S18_1749,"1917 Grand Touring Sedan","Kelly's Gift Shop",2003-07-07,1944.80
S24_2887,"1952 Citroen-15CV","AV Stores, Co.",2004-11-17,1944.72
S10_4962,"1962 LanciaA Delta 16V","Mini Gifts Distributors Ltd.",2004-03-11,1944.32
S18_4027,"1970 Triumph Spitfire","Heintze Collectables",2004-10-22,1938.90
S12_3380,"1968 Dodge Charger","Marseille Mini Autos",2003-05-08,1936.64
S12_3380,"1968 Dodge Charger","Herkku Gifts",2003-11-12,1936.64
S18_1984,"1995 Honda Civic","Marseille Mini Autos",2003-05-08,1934.60
S24_1785,"1928 British Royal Navy Airplane","Rovelli Gifts",2003-02-17,1930.14
S12_3148,"1969 Corvair Monza","Saveley & Henriot, Co.",2004-01-02,1926.30
S12_1099,"1968 Ford Mustang","Salzburg Collectables",2004-11-24,1926.20
S18_2238,"1998 Chrysler Plymouth Prowler","Mini Gifts Distributors Ltd.",2005-01-23,1925.52
S18_1589,"1965 Aston Martin DB5","Muscle Machine Inc",2003-12-02,1925.08
S18_1129,"1993 Mazda RX-7","Vida Sport, Ltd",2004-08-30,1924.91
S10_2016,"1996 Moto Guzzi 1100i","Osaka Souveniers Co.",2004-01-12,1920.83
S12_2823,"2002 Suzuki XREO","Land of Toys Inc.",2004-11-15,1920.45
S18_3232,"1992 Ferrari 360 Spider red","Vitachrome Inc.",2004-11-05,1920.38
S18_3232,"1992 Ferrari 360 Spider red","Euro+ Shopping Channel",2004-12-10,1920.38
S18_4600,"1940s Ford truck","Diecast Collectables",2003-12-09,1917.92
S10_4757,"1972 Alfa Romeo GTA","Danish Wholesale Imports",2003-02-11,1917.60
S50_1392,"Diamond T620 Semi-Skirted Tanker","Dragon Souveniers, Ltd.",2003-10-22,1916.82
S24_2887,"1952 Citroen-15CV","Muscle Machine Inc",2003-12-02,1916.58
S24_4048,"1992 Porsche Cayenne Turbo Silver","Dragon Souveniers, Ltd.",2003-10-22,1916.10
S18_2238,"1998 Chrysler Plymouth Prowler","Mini Gifts Distributors Ltd.",2004-08-20,1915.68
S18_2238,"1998 Chrysler Plymouth Prowler","La Rochelle Gifts",2005-05-31,1915.68
S10_4962,"1962 LanciaA Delta 16V","Baane Mini Imports",2003-01-29,1914.72
S12_1666,"1958 Setra Bus","Online Diecast Creations Co.",2004-11-04,1913.38
S18_1984,"1995 Honda Civic","Anna's Decorations, Ltd",2003-09-11,1911.84
S24_1785,"1928 British Royal Navy Airplane","Kelly's Gift Shop",2004-12-16,1910.52
S18_3685,"1948 Porsche Type 356 Roadster","L'ordine Souveniers",2004-07-06,1907.25
S24_1578,"1997 BMW R 1100 S","La Rochelle Gifts",2004-07-23,1906.92
S18_2325,"1932 Model A Ford J-Coupe","Mini Gifts Distributors Ltd.",2004-10-21,1901.79
S18_2870,"1999 Indy 500 Monte Carlo SS",FunGiftIdeas.com,2004-11-04,1900.80
S18_3685,"1948 Porsche Type 356 Roadster","Anna's Decorations, Ltd",2003-09-11,1898.82
S12_2823,"2002 Suzuki XREO","Auto Canal+ Petit",2004-01-15,1897.80
S18_3232,"1992 Ferrari 360 Spider red","Diecast Classics Inc.",2004-08-19,1896.58
S18_4027,"1970 Triumph Spitfire","Muscle Machine Inc",2003-06-03,1895.85
S18_4721,"1957 Corvette Convertible","Vida Sport, Ltd",2004-02-22,1895.74
S18_2238,"1998 Chrysler Plymouth Prowler","Iberia Gift Imports, Corp.",2003-11-14,1894.36
S18_1984,"1995 Honda Civic","Motor Mint Distributors Inc.",2004-11-17,1891.96
S18_1589,"1965 Aston Martin DB5","AV Stores, Co.",2003-03-18,1891.52
S24_3856,"1956 Porsche 356A Coupe","Euro+ Shopping Channel",2004-01-16,1887.36
S10_1949,"1952 Alpine Renault 1300","Souveniers And Things Co.",2004-07-19,1885.84
S12_3148,"1969 Corvair Monza","Mini Gifts Distributors Ltd.",2005-02-17,1885.52
S10_2016,"1996 Moto Guzzi 1100i","Tokyo Collectables, Ltd",2004-11-23,1884.00
S12_3148,"1969 Corvair Monza","Heintze Collectables",2004-10-22,1881.00
S18_1129,"1993 Mazda RX-7","Euro+ Shopping Channel",2004-01-16,1879.68
S18_2870,"1999 Indy 500 Monte Carlo SS","Euro+ Shopping Channel",2004-01-16,1879.68
S18_1129,"1993 Mazda RX-7","Mini Gifts Distributors Ltd.",2005-03-04,1879.68
S18_1749,"1917 Grand Touring Sedan",Toys4GrownUps.com,2005-01-12,1878.50
S12_3380,"1968 Dodge Charger","Mini Gifts Distributors Ltd.",2003-07-02,1876.63
S18_3482,"1976 Ford Gran Torino","Suominen Souveniers",2005-01-06,1874.10
S18_3140,"1903 Ford Model A","Land of Toys Inc.",2004-05-07,1874.04
S10_4757,"1972 Alfa Romeo GTA","Euro+ Shopping Channel",2004-12-02,1872.72
S18_1984,"1995 Honda Civic","Salzburg Collectables",2005-05-17,1872.08
S12_3891,"1969 Ford Falcon","Mini Gifts Distributors Ltd.",2005-02-17,1866.93
S24_1578,"1997 BMW R 1100 S","Technics Stores Inc.",2003-10-28,1866.24
S18_3232,"1992 Ferrari 360 Spider red","Mini Gifts Distributors Ltd.",2004-07-20,1862.74
S10_4962,"1962 LanciaA Delta 16V","Diecast Classics Inc.",2004-08-19,1861.58
S24_2011,"18th century schooner","AV Stores, Co.",2004-10-14,1859.29
S18_3685,"1948 Porsche Type 356 Roadster","Motor Mint Distributors Inc.",2004-11-17,1859.20
S18_2325,"1932 Model A Ford J-Coupe","Amica Models & Co.",2004-08-17,1858.61
S18_2238,"1998 Chrysler Plymouth Prowler","Marta's Replicas Co.",2004-10-13,1856.68
S18_3685,"1948 Porsche Type 356 Roadster","Euro+ Shopping Channel",2004-01-16,1853.60
S18_4721,"1957 Corvette Convertible","Suominen Souveniers",2005-01-06,1852.50
